1;1;3;2;3;3:45;120;193;168
2;1;2;3;7;3:45;120;193;168
3;1;4;3;6;16:0;345;78;36
4;1;3;4;3;16:0;345;78;36
5;1;3;2;6;14:30;285;224;184
6;1;2;3;3;14:30;285;224;184
7;1;2;4;5;12:0;150;209;164
8;1;4;2;2;12:0;150;209;164
9;1;4;5;3;21:45;570;117;80
10;1;5;4;7;21:45;570;117;80
11;1;2;1;1;10:30;105;285;248
12;1;1;2;5;10:30;105;285;248
13;1;2;1;6;21:45;240;254;205
14;1;1;2;3;21:45;240;254;205
15;2;9;7;3;12:30;480;129;100
16;2;7;9;7;12:30;480;129;100
17;2;6;7;1;2:30;540;98;63
18;2;7;6;5;2:30;540;98;63
19;2;7;8;4;0:45;345;157;112
20;2;8;7;1;0:45;345;157;112
21;2;7;10;1;22:30;135;230;184
22;2;10;7;5;22:30;135;230;184
23;2;8;7;4;6:15;360;253;217
24;2;7;8;1;6:15;360;253;217
25;2;8;7;6;11:45;480;272;243
26;2;7;8;3;11:45;480;272;243
27;2;6;8;4;14:0;375;125;80
28;2;8;6;1;14:0;375;125;80
29;3;13;15;5;1:45;300;240;202
30;3;15;13;2;1:45;300;240;202
31;3;15;13;7;14:0;270;124;89
32;3;13;15;4;14:0;270;124;89
33;3;11;15;2;12:15;180;190;162
34;3;15;11;6;12:15;180;190;162
35;3;12;13;1;23:0;150;251;223
36;3;13;12;5;23:0;150;251;223
37;3;11;13;7;10:15;405;261;220
38;3;13;11;4;10:15;405;261;220
39;3;15;13;1;0:0;225;87;45
40;3;13;15;5;0:0;225;87;45
41;3;14;13;6;9:0;270;117;90
42;3;13;14;3;9:0;270;117;90
43;4;17;16;4;7:45;330;94;63
44;4;16;17;1;7:45;330;94;63
45;4;17;20;7;3:0;390;243;196
46;4;20;17;4;3:0;390;243;196
47;4;20;16;5;24:30;390;126;96
48;4;16;20;2;24:30;390;126;96
49;4;18;17;4;6:30;570;136;96
50;4;17;18;1;6:30;570;136;96
51;4;17;19;6;20:30;150;300;255
52;4;19;17;3;20:30;150;300;255
53;4;16;19;7;16:0;210;208;188
54;4;19;16;4;16:0;210;208;188
55;4;19;17;4;23:15;405;228;188
56;4;17;19;1;23:15;405;228;188
57;5;24;21;1;8:45;570;233;204
58;5;21;24;5;8:45;570;233;204
59;5;25;23;1;6:45;285;150;118
60;5;23;25;5;6:45;285;150;118
61;5;23;24;1;16:0;315;83;59
62;5;24;23;5;16:0;315;83;59
63;5;22;24;2;15:15;120;96;67
64;5;24;22;6;15:15;120;96;67
65;5;25;24;2;19:0;60;120;97
66;5;24;25;6;19:0;60;120;97
67;5;43;33;1;11:45;285;153;128
68;5;33;43;5;11:45;285;153;128
69;5;22;21;1;23:45;105;97;48
70;5;21;22;5;23:45;105;97;48
71;6;28;29;2;8:15;60;94;60
72;6;29;28;6;8:15;60;94;60
73;6;27;30;7;5:30;165;162;115
74;6;30;27;4;5:30;165;162;115
75;6;30;29;3;21:15;225;264;232
76;6;29;30;7;21:15;225;264;232
77;6;30;29;6;14:15;75;234;191
78;6;29;30;3;14:15;75;234;191
79;6;29;26;5;7:0;150;76;27
80;6;26;29;2;7:0;150;76;27
81;6;28;26;3;3:15;75;138;90
82;6;26;28;7;3:15;75;138;90
83;6;26;27;7;0:45;255;125;82
84;6;27;26;4;0:45;255;125;82
85;7;33;35;5;23:0;195;81;50
86;7;35;33;2;23:0;195;81;50
87;7;35;34;7;24:0;420;159;131
88;7;34;35;4;24:0;420;159;131
89;7;31;32;1;24:15;465;298;278
90;7;32;31;5;24:15;465;298;278
91;7;34;33;5;24:0;420;176;138
92;7;33;34;2;24:0;420;176;138
93;7;32;33;4;6:15;255;90;43
94;7;33;32;1;6:15;255;90;43
95;7;34;33;7;24:0;180;300;256
96;7;33;34;4;24:0;180;300;256
97;7;31;32;3;18:0;180;162;118
98;7;32;31;7;18:0;180;162;118
99;8;39;40;3;16:0;165;297;248
100;8;40;39;7;16:0;165;297;248
101;8;37;38;7;6:0;495;146;119
102;8;38;37;4;6:0;495;146;119
103;8;36;40;6;4:45;570;188;141
104;8;40;36;3;4:45;570;188;141
105;8;37;40;6;4:0;615;230;206
106;8;40;37;3;4:0;615;230;206
107;8;40;39;5;18:0;225;164;118
108;8;39;40;2;18:0;225;164;118
109;8;38;36;4;13:30;255;221;189
110;8;36;38;1;13:30;255;221;189
111;8;36;37;4;2:45;285;300;263
112;8;37;36;1;2:45;285;300;263
113;9;45;44;3;0:45;360;206;164
114;9;44;45;7;0:45;360;206;164
115;9;45;44;2;13:15;435;280;259
116;9;44;45;6;13:15;435;280;259
117;9;41;45;3;7:15;435;126;91
118;9;45;41;7;7:15;435;126;91
119;9;45;44;4;16:15;360;83;47
120;9;44;45;1;16:15;360;83;47
121;9;42;41;6;1:45;450;189;161
122;9;41;42;3;1:45;450;189;161
123;9;41;44;7;5:15;150;138;90
124;9;44;41;4;5:15;150;138;90
125;9;45;44;6;11:30;120;197;164
126;9;44;45;3;11:30;120;197;164
127;10;50;47;2;0:45;600;264;235
128;10;47;50;6;0:45;600;264;235
129;10;47;48;1;24:45;435;171;148
130;10;48;47;5;24:45;435;171;148
131;10;49;46;7;4:0;630;126;93
132;10;46;49;4;4:0;630;126;93
133;10;50;47;7;16:15;450;169;126
134;10;47;50;4;16:15;450;169;126
135;10;49;50;1;4:30;405;152;127
136;10;50;49;5;4:30;405;152;127
137;10;49;50;2;17:30;420;130;101
138;10;50;49;6;17:30;420;130;101
139;10;46;50;6;19:15;420;207;175
140;10;50;46;3;19:15;420;207;175
