1;1;1;08/11/2022
2;1;1;08/18/2022
3;1;1;08/25/2022
4;1;1;09/01/2022
5;1;1;09/08/2022
6;1;1;09/15/2022
7;1;1;09/22/2022
8;1;1;09/29/2022
9;1;1;10/06/2022
10;1;1;10/13/2022
11;1;1;10/20/2022
12;1;1;10/27/2022
13;1;1;11/03/2022
14;1;1;11/10/2022
15;1;1;11/17/2022
16;1;1;11/24/2022
17;1;1;12/01/2022
18;1;1;12/08/2022
19;1;1;12/15/2022
20;1;1;12/22/2022
21;1;1;12/29/2022
22;1;1;01/05/2023
23;1;1;01/12/2023
24;1;1;01/19/2023
25;1;1;01/26/2023
26;1;1;02/02/2023
27;1;1;02/09/2023
28;1;1;02/16/2023
29;1;1;02/23/2023
30;1;1;03/02/2023
31;1;1;03/09/2023
32;1;1;03/16/2023
33;1;1;03/23/2023
34;1;1;03/30/2023
35;1;1;04/06/2023
36;1;1;04/13/2023
37;1;1;04/20/2023
38;1;1;04/27/2023
39;1;1;05/04/2023
40;1;1;05/11/2023
41;1;1;05/18/2023
42;1;1;05/25/2023
43;1;1;06/01/2023
44;1;1;06/08/2023
45;1;1;06/15/2023
46;1;1;06/22/2023
47;1;1;06/29/2023
48;1;1;07/06/2023
49;1;1;07/13/2023
50;1;1;07/20/2023
51;1;1;07/27/2023
52;1;1;08/03/2023
53;1;1;08/10/2023
54;1;1;08/17/2023
55;1;1;08/24/2023
56;1;1;08/31/2023
57;1;1;09/07/2023
58;1;1;09/14/2023
59;1;1;09/21/2023
60;1;1;09/28/2023
61;1;1;10/05/2023
62;1;1;10/12/2023
63;1;1;10/19/2023
64;1;1;10/26/2023
65;1;1;11/02/2023
66;1;1;11/09/2023
67;1;1;11/16/2023
68;1;1;11/23/2023
69;1;1;11/30/2023
70;1;1;12/07/2023
71;1;1;12/14/2023
72;1;1;12/21/2023
73;1;1;12/28/2023
74;1;1;01/04/2024
75;2;1;08/15/2022
76;2;1;08/22/2022
77;2;1;08/29/2022
78;2;1;09/05/2022
79;2;1;09/12/2022
80;2;1;09/19/2022
81;2;1;09/26/2022
82;2;1;10/03/2022
83;2;1;10/10/2022
84;2;1;10/17/2022
85;2;1;10/24/2022
86;2;1;10/31/2022
87;2;1;11/07/2022
88;2;1;11/14/2022
89;2;1;11/21/2022
90;2;1;11/28/2022
91;2;1;12/05/2022
92;2;1;12/12/2022
93;2;1;12/19/2022
94;2;1;12/26/2022
95;2;1;01/02/2023
96;2;1;01/09/2023
97;2;1;01/16/2023
98;2;1;01/23/2023
99;2;1;01/30/2023
