1;8;1
2;7;1
3;7;1
4;5;1
5;9;1
6;9;1
7;9;1
8;8;1
9;5;1
10;8;1
11;5;1
12;3;1
13;9;1
14;9;1
15;9;1
16;8;2
17;2;2
18;2;2
19;2;2
20;6;2
21;4;2
22;9;2
23;7;2
24;6;2
25;1;2
26;5;2
27;6;2
28;3;2
29;3;2
30;3;2
31;6;3
32;2;3
33;1;3
34;4;3
35;4;3
36;8;3
37;5;3
38;3;3
39;7;3
40;1;3
41;7;3
42;9;3
43;1;3
44;5;3
45;9;3
46;6;4
47;5;4
48;5;4
49;8;4
50;3;4
51;3;4
52;4;4
53;2;4
54;5;4
55;1;4
56;1;4
57;1;4
58;7;4
59;8;4
60;5;4
61;6;5
62;9;5
63;2;5
64;1;5
65;7;5
66;7;5
67;5;5
68;6;5
69;5;5
70;2;5
71;5;5
72;3;5
73;7;5
74;4;5
75;5;5
76;6;6
77;6;6
78;6;6
79;4;6
80;7;6
81;6;6
82;5;6
83;7;6
84;7;6
85;3;6
86;2;6
87;2;6
88;5;6
89;5;6
90;5;6
91;8;7
92;7;7
93;8;7
94;7;7
95;7;7
96;8;7
97;1;7
98;1;7
99;4;7
100;1;7
101;6;7
102;7;7
103;7;7
104;1;7
105;9;7
106;8;8
107;9;8
108;9;8
109;6;8
110;7;8
111;7;8
112;2;8
113;1;8
114;5;8
115;8;8
116;1;8
117;9;8
118;1;8
119;5;8
120;5;8
121;8;9
122;9;9
123;3;9
124;9;9
125;8;9
126;8;9
127;4;9
128;2;9
129;3;9
130;7;9
131;6;9
132;8;9
133;3;9
134;6;9
135;2;9
136;1;10
137;7;10
138;5;10
139;4;10
140;8;10
141;7;10
142;9;10
143;2;10
144;9;10
145;5;10
146;4;10
147;4;10
148;5;10
149;5;10
150;1;10
